Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,37,1100.0,0,1100.0,-1,90000.0,0.0,-1,1.0E9,0,90000.0,CRASHED,,8.315,
2,1,93,1100.0,0,1100.0,-1,90000.0,0.0,-1,1.0E9,1,180000.0,CRASHED,,135.93,
3,2,37,5.26791715622,0,1100.0,-1,5.26791715622,0.0,1,0.0,1,180005.26791715622,SAT,,5.306,
4,2,93,1100.0,0,1100.0,-1,90000.0,0.0,0,0.0,1,270005.2679171562,TIMEOUT,,1881.916,
5,2,48,3.89691209793,0,1100.0,-1,3.89691209793,0.0,1,0.0,1,270009.16482925415,SAT,,3.926,
6,3,93,1100.0,0,1100.0,-1,90000.0,0.0,0,0.0,1,360009.16482925415,TIMEOUT,,1882.317,
7,3,48,4.28399920464,0,12.919478205378354,-1,4.28399920464,0.0,1,0.0,1,360013.4488284588,SAT,,4.354,
8,3,37,5.37750887871,0,7.350279324102402,-1,5.37750887871,0.0,1,0.0,1,360018.8263373375,SAT,,5.426,
9,2,35,882.001456976,0,1100.0,-1,882.001456976,0.0,1,0.0,2,360900.8277943135,SAT,,882.029,
10,4,93,1100.0,0,1100.0,-1,90000.0,0.0,0,0.0,2,450900.8277943135,TIMEOUT,,1881.882,
11,4,48,4.34327888489,0,1100.0,-1,4.34327888489,0.0,1,0.0,2,450905.1710731984,SAT,,4.378,
12,4,35,882.160650015,0,1100.0,-1,882.160650015,0.0,1,0.0,2,451787.33172321337,SAT,,882.2,
13,2,71,1100.0,0,1100.0,-1,90000.0,0.0,0,0.0,2,541787.3317232134,TIMEOUT,,1881.666,
14,5,93,1100.0,0,1100.0,-1,90000.0,0.0,0,0.0,2,631787.3317232134,TIMEOUT,,1882.253,
15,5,48,4.2184419632,0,1100.0,-1,4.2184419632,0.0,1,0.0,2,631791.5501651766,SAT,,4.25,
16,5,35,1100.0,0,1100.0,-1,90000.0,0.0,0,0.0,2,721791.5501651766,TIMEOUT,,1882.062,
17,2,20,10.6470530033,0,1100.0,-1,10.6470530033,0.0,1,0.0,3,721802.1972181799,SAT,,10.682,
18,6,35,1100.0,0,1100.0,-1,90000.0,0.0,0,0.0,3,811802.1972181799,TIMEOUT,,1882.286,
19,2,83,1100.0,0,1100.0,-1,90000.0,0.0,0,0.0,3,901802.1972181799,TIMEOUT,,1882.354,
20,7,71,1100.0,0,1100.0,-1,90000.0,0.0,-1,1.0E9,3,991802.1972181799,CRASHED,,95.654,
21,7,20,1100.0,0,19.9123546419397,-1,199.66719999999998,0.0,-1,1.0E9,3,992001.86441818,CRASHED,Run Exceeded Captime -- Treating as CRASHED;Killed Manually,210.176,
22,2,12,14.3974840641,0,1100.0,-1,14.3974840641,0.0,1,0.0,4,992016.2619022441,SAT,,14.446,
23,8,20,8.04583096504,0,14.84376944449842,-1,8.04583096504,0.0,1,0.0,4,992024.3077332091,SAT,,8.095,
24,8,37,4.65504813194,0,29.951810844588284,-1,4.65504813194,0.0,1,0.0,4,992028.962781341,SAT,,4.678,
25,8,12,10.1165950298,0,23.900247815410797,-1,10.1165950298,0.0,1,0.0,4,992039.0793763709,SAT,,10.149,
26,8,35,881.775292158,0,1100.0,-1,881.775292158,0.0,1,0.0,4,992920.8546685289,SAT,,881.817,
27,8,71,1100.0,0,1100.0,-1,90000.0,0.0,0,0.0,4,1082920.8546685288,TIMEOUT,,1881.806,
28,8,93,1100.0,0,1100.0,-1,90000.0,0.0,0,0.0,4,1172920.8546685288,TIMEOUT,,1882.426,
29,8,48,3.80314898491,0,16.113874151717127,-1,3.80314898491,0.0,1,0.0,4,1172924.6578175137,SAT,,3.882,
30,8,83,1100.0,0,1100.0,-1,90000.0,0.0,0,0.0,4,1262924.6578175137,TIMEOUT,,1881.977,
31,8,6,15.5532050133,0,1100.0,-1,15.5532050133,0.0,1,0.0,4,1262940.211022527,SAT,,15.644,
32,9,83,1100.0,0,1100.0,-1,90000.0,0.0,0,0.0,4,1352940.211022527,TIMEOUT,,1882.216,
33,9,93,1100.0,0,1100.0,-1,90000.0,0.0,0,0.0,4,1442940.211022527,TIMEOUT,,1881.982,
34,9,37,1100.0,0,7.056763179945946,-1,90000.0,0.0,-1,1.0E9,4,1532940.211022527,CRASHED,,7.087,
35,8,51,144.829708815,0,1100.0,-1,144.829708815,0.0,1,0.0,5,1533085.040731342,SAT,,144.917,
36,10,51,189.28122151491345,1,189.28122151491345,-1,90000.0,0.0,0,0.0,5,1623085.040731342,TIMEOUT,,1884.597,
37,8,75,1100.0,0,1100.0,-1,90000.0,0.0,0,0.0,5,1713085.040731342,TIMEOUT,,1882.103,
38,11,37,1100.0,0,7.054162857468427,-1,90000.0,0.0,-1,1.0E9,5,1803085.040731342,CRASHED,,8.036,
39,8,46,4.34554195404,0,1100.0,-1,4.34554195404,0.0,1,0.0,6,1803089.386273296,SAT,,4.393,
40,12,37,5.1206009388,0,7.054162857468427,-1,5.1206009388,0.0,1,0.0,6,1803094.5068742349,SAT,,5.162,
41,8,32,882.071816206,0,1100.0,-1,882.071816206,0.0,1,0.0,6,1803976.5786904409,SAT,,882.121,
42,13,93,1100.0,0,1100.0,-1,90000.0,0.0,0,0.0,6,1893976.5786904409,TIMEOUT,,1882.461,
43,13,51,1100.0,0,194.22791518119277,-1,90000.0,0.0,-1,1.0E9,6,1983976.5786904409,CRASHED,,16.708,
44,8,5,103.831397057,0,1100.0,-1,103.831397057,0.0,1,0.0,7,1984080.410087498,SAT,,103.915,
45,14,6,12.3255751133,0,21.221767168837786,-1,12.3255751133,0.0,1,0.0,7,1984092.7356626112,SAT,,12.443,
46,14,35,881.858901024,0,1100.0,-1,881.858901024,0.0,1,0.0,7,1984974.5945636353,SAT,,881.901,
47,14,48,3.526897192,0,10.036521650265158,-1,3.526897192,0.0,1,0.0,7,1984978.1214608273,SAT,,3.572,
48,14,93,1100.0,0,1100.0,-1,90000.0,0.0,0,0.0,7,2074978.1214608273,TIMEOUT,,1882.152,
49,14,37,4.91045880318,0,210.24651959386767,-1,4.91045880318,0.0,1,0.0,7,2074983.0319196305,SAT,,4.953,
50,14,20,9.22294902802,0,203.86292301898004,-1,9.22294902802,0.0,1,0.0,7,2074992.2548686585,SAT,,9.249,
51,14,51,191.8730891154811,1,191.8730891154811,-1,90000.0,0.0,0,0.0,7,2164992.2548686583,TIMEOUT,,1884.948,
52,8,11,10.62433815,0,1100.0,-1,10.62433815,0.0,1,0.0,7,2165002.8792068083,SAT,,10.66,
53,15,93,1100.0,0,1100.0,-1,90000.0,0.0,-1,1.0E9,7,2255002.8792068083,CRASHED,,132.424,
54,15,46,1100.0,0,20.466044203723968,-1,90000.0,0.0,-1,1.0E9,7,2345002.8792068083,CRASHED,,5.635,
55,8,76,1100.0,0,1100.0,-1,90000.0,0.0,0,0.0,8,2435002.8792068083,TIMEOUT,,1882.238,
56,16,76,1100.0,0,1100.0,-1,90000.0,0.0,0,0.0,8,2525002.8792068083,TIMEOUT,,1882.388,
57,16,11,10.315582037,0,203.09546164550932,-1,10.315582037,0.0,1,0.0,8,2525013.1947888453,SAT,,10.357,
58,16,51,189.6852044187218,1,189.6852044187218,-1,90000.0,0.0,0,0.0,8,2615013.1947888453,TIMEOUT,,1884.421,
59,8,77,1100.0,0,1100.0,-1,90000.0,0.0,0,0.0,8,2705013.1947888453,TIMEOUT,,1882.374,
60,17,20,1100.0,0,11.462180910977722,-1,115.63874999999999,0.0,-1,1.0E9,8,2705128.833538845,CRASHED,Run Exceeded Captime -- Treating as CRASHED;Killed Manually,121.725,
