Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,1082,67.7782959938,0,2000.0,-1,67.7782959938,0.0,1,0.0,0,67.7782959938,SAT,,67.988,
2,1,294,3.77964091301,0,2000.0,-1,3.77964091301,0.0,1,0.0,1,71.55793690681,SAT,,3.806,
3,2,294,39.5438199043,0,5.916134070950746,-1,39.5438199043,0.0,1,0.0,1,111.10175681111,SAT,,39.565,
4,1,1053,31.760789156,0,2000.0,-1,31.760789156,0.0,1,0.0,1,142.86254596711,SAT,,31.792,
5,3,294,3.70035600662,0,5.916134070950746,-1,3.70035600662,0.0,1,0.0,1,146.56290197373002,SAT,,3.746,
6,3,1082,70.0014679432,0,130.50908156518938,-1,70.0014679432,0.0,1,0.0,1,216.56436991693002,SAT,,70.032,
7,3,1053,47.8757760525,0,39.5071730840683,-1,47.8757760525,0.0,1,0.0,1,264.44014596943003,SAT,,47.909,
8,1,2791,644.253471851,0,2000.0,-1,644.253471851,0.0,1,0.0,2,908.6936178204301,SAT,,644.289,
9,4,1082,582.350855827,0,89.11438490112425,-1,582.350855827,0.0,1,0.0,2,1491.04447364743,SAT,,582.394,
10,1,1995,1728.60798216,0,2000.0,-1,1728.60798216,0.0,1,0.0,2,3219.6524558074298,SAT,,1728.657,
11,5,294,3.85690617561,0,5.916134070950746,-1,3.85690617561,0.0,1,0.0,2,3223.50936198304,SAT,,3.947,
12,1,279,16.5969970226,0,2000.0,-1,16.5969970226,0.0,1,0.0,3,3240.10635900564,SAT,,16.632,
13,6,294,2000.0,0,5.916134070950746,-1,59.92885,0.0,-1,1.0E9,3,3300.03520900564,CRASHED,Run Exceeded Captime -- Treating as CRASHED;Killed Manually,63.083,
14,1,2540,1432.78454709,0,2000.0,-1,1432.78454709,0.0,1,0.0,3,4732.81975609564,SAT,,1432.827,
15,7,2540,1874.30800104,0,1863.622511539954,-1,1874.30800104,0.0,1,0.0,3,6607.1277571356395,SAT,,1874.412,
16,1,2123,1065.50703788,0,2000.0,-1,1065.50703788,0.0,1,0.0,4,7672.63479501564,SAT,,1065.547,
